Column1,Column5,Column9
괜찮,Adjective,*
괜하,Adjective,*
괴괴스럽,Adjective,*
괴기스럽,Adjective,*
괴까다롭,Adjective,*
괴까닭스럽,Adjective,*
괴란쩍,Adjective,*
괴롭,Adjective,*
괴망스럽,Adjective,*
괴벽스럽,Adjective,*
괴상스럽,Adjective,*
괴악스럽,Adjective,*
괴이쩍,Adjective,*
괴이찮,Adjective,*
괴팍스럽,Adjective,*
괴퍅하,Adjective,*
굉장스럽,Adjective,*
교사스럽,Adjective,*
교앙스럽,Adjective,*
교태롭,Adjective,*
교태스럽,Adjective,*
교활스럽,Adjective,*
구,Adjective,*
구경스럽,Adjective,*
구구스럽,Adjective,*
구리,Adjective,*
구배지,Adjective,*
구쁘,Adjective,*
구석지,Adjective,*
구성없,Adjective,*
구성지,Adjective,*
구슬프,Adjective,*
구십,Adjective,*
구십여,Adjective,*
구접스럽,Adjective,*
구지,Adjective,*
구질,Adjective,*
구차스럽,Adjective,*
구차하,Adjective,*
구찮,Adjective,*
국한,Adjective,*
군던지럽,Adjective,*
군색스럽,Adjective,*
군시럽,Adjective,*
군지럽,Adjective,*
굳,Adjective,*
굳세,Adjective,*
굴곡지,Adjective,*
굴뚝같,Adjective,*
굴신스럽,Adjective,*
굴척지,Adjective,*
굵,Adjective,*
굵다랗,Adjective,*
굵디굵,Adjective,*
굻,Adjective,*
굼닐,Adjective,*
굼뜨,Adjective,*
굽,Adjective,*
궁굴,Adjective,*
궁글,Adjective,*
궁금스럽,Adjective,*
궁금쩍,Adjective,*
궁금하,Adjective,*
궁벽스럽,Adjective,*
궁상맞,Adjective,*
궁상스럽,Adjective,*
궁색스럽,Adjective,*
궁시렁거리,Adjective,*
궁하,Adjective,*
궂,Adjective,*
궃,Adjective,*
궤란쩍,Adjective,*
귀,Adjective,*
귀골스럽,Adjective,*
귀꿈스럽,Adjective,*
귀살스럽,Adjective,*
귀설,Adjective,*
귀염성스럽,Adjective,*
귀엽,Adjective,*
귀접스럽,Adjective,*
귀중스럽,Adjective,*
귀찬,Adjective,*
귀찮,Adjective,*
귀하,Adjective,*
귀허,Adjective,*
그,Adjective,*
그까짓,Adjective,*
그깐,Adjective,*
그깟,Adjective,*
그날그,Adjective,*
그냥,Adjective,*
그따위,Adjective,*
그딴,Adjective,*
그란,Adjective,*
그러,Adjective,*
그러잖,Adjective,*
그러찮,Adjective,*
그러하,Adjective,*
그런,Adjective,*
그런그런,Adjective,*
그런저런,Adjective,*
그럴듯하,Adjective,*
그럴사하,Adjective,*
그럴싸하,Adjective,*
그럿,Adjective,*
그렁,Adjective,*
그렁하,Adjective,*
그렇,Adjective,*
그렇잖,Adjective,*
그르,Adjective,*
그릇되,Adjective,*
그릏,Adjective,*
그립,Adjective,*
그만,Adjective,*
그만이,Adjective,*
그만하,Adjective,*
그악스럽,Adjective,*
그으르,Adjective,*
그지없,Adjective,*
그침없,Adjective,*
극성맞,Adjective,*
극성스럽,Adjective,*
극심스럽,Adjective,*
극악스럽,Adjective,*
근,Adjective,*
근지럽,Adjective,*
글,Adjective,*
글르,Adjective,*
글박스럽,Adjective,*
금새,Adjective,*
금쪽같,Adjective,*
급작스럽,Adjective,*
급하,Adjective,*
급허,Adjective,*
기,Adjective,*
기,Adjective,*
기강스럽,Adjective,*
기걸스럽,Adjective,*
기겁스럽,Adjective,*
기골차,Adjective,*
기괴스럽,Adjective,*
기껍,Adjective,*
기나길,Adjective,*
기다랗,Adjective,*
기다맣,Adjective,*
기닿,Adjective,*
기똥차,Adjective,*
기뚱거리,Adjective,*
기럽,Adjective,*
기렇,Adjective,*
기름지,Adjective,*
기막히,Adjective,*
기만,Adjective,*
기맥히,Adjective,*
기백,Adjective,*
기백만,Adjective,*
기분좋,Adjective,*
기쁘,Adjective,*
기십,Adjective,*
기십만,Adjective,*
기운차,Adjective,*
기차,Adjective,*
기천,Adjective,*
기천만,Adjective,*
기탄없,Adjective,*
긴긴,Adjective,*
긴하,Adjective,*
길,Adjective,*
길고길,Adjective,*
길길다랗,Adjective,*
길다랗,Adjective,*
길둥글,Adjective,*
길디길,Adjective,*
길하,Adjective,*
깊,Adjective,*
깊고깊,Adjective,*
깊다랗,Adjective,*
깊디깊,Adjective,*
까다롭,Adjective,*
까닭스럽,Adjective,*
까딱없,Adjective,*
까리하,Adjective,*
까맣,Adjective,*
까슬하,Adjective,*
까시까시랗,Adjective,*
까아맣,Adjective,*
까지,Adjective,*
까짓,Adjective,*
까탈스럽,Adjective,*
