Column1,Column5,Column9
씨발놈,Exclamation,*
씨발씨발,Exclamation,*
씨버럴,Exclamation,*
씨벌놈,Exclamation,*
씨부랄,Exclamation,*
씨부럴,Exclamation,*
씨비,Exclamation,*
씨씨,Exclamation,*
씨이,Exclamation,*
씨이잉,Exclamation,*
씨이팔,Exclamation,*
씨팔,Exclamation,*
씹새끼들,Exclamation,*
아,Exclamation,*
아가,Exclamation,*
아고,Exclamation,*
아고매,Exclamation,*
아고머니,Exclamation,*
아고메나,Exclamation,*
아구,Exclamation,*
아구구,Exclamation,*
아구구구,Exclamation,*
아구메,Exclamation,*
아그,Exclamation,*
아그그,Exclamation,*
아그그그그,Exclamation,*
아나,Exclamation,*
아냐,Exclamation,*
아녀,Exclamation,*
아녜유,Exclamation,*
아뇨,Exclamation,*
아니,Exclamation,*
아니다,Exclamation,*
아니야,Exclamation,*
아니예,Exclamation,*
아니오,Exclamation,*
아니요,Exclamation,*
아니유,Exclamation,*
아니지,Exclamation,*
아두,Exclamation,*
아따,Exclamation,*
아따메,Exclamation,*
아리,Exclamation,*
아멘,Exclamation,*
아무러면요,Exclamation,*
아무려나,Exclamation,*
아무려면,Exclamation,*
아무렴,Exclamation,*
아무렴요,Exclamation,*
아무리,Exclamation,*
아민,Exclamation,*
아뿔사,Exclamation,*
아뿔싸,Exclamation,*
아서,Exclamation,*
아서라,Exclamation,*
아서요,Exclamation,*
아소,Exclamation,*
아스서요,Exclamation,*
아싸,Exclamation,*
아쎄,Exclamation,*
아씨,Exclamation,*
아아,Exclamation,*
아아뇨,Exclamation,*
아아니,Exclamation,*
아아니요,Exclamation,*
아아따,Exclamation,*
아아씨,Exclamation,*
아아아,Exclamation,*
아아아아,Exclamation,*
아아아아아,Exclamation,*
아아악,Exclamation,*
아아이,Exclamation,*
아악,Exclamation,*
아암,Exclamation,*
아앗,Exclamation,*
아앙,Exclamation,*
아야,Exclamation,*
아야야,Exclamation,*
아야야야,Exclamation,*
아야야야야,Exclamation,*
아얏,Exclamation,*
아오,Exclamation,*
아옹,Exclamation,*
아요,Exclamation,*
아우,Exclamation,*
아웅,Exclamation,*
아유,Exclamation,*
아으,Exclamation,*
아음,Exclamation,*
아응,Exclamation,*
아이,Exclamation,*
아이갸,Exclamation,*
아이고,Exclamation,*
아이고나,Exclamation,*
아이고매,Exclamation,*
아이고머니,Exclamation,*
아이고머니나,Exclamation,*
아이고아이고,Exclamation,*
아이고야,Exclamation,*
아이고오,Exclamation,*
아이구,Exclamation,*
아이구매,Exclamation,*
아이구머니,Exclamation,*
아이구머니나,Exclamation,*
아이구우,Exclamation,*
아이그,Exclamation,*
아이뜨,Exclamation,*
아이씨,Exclamation,*
